Instruction,Actual,Prediction
where do I get invoice #00108?,get_invoice,check_invoice
I need help with canxeling purchase {{Order Number}},cancel_order,change_order
i have got to see my invoice #12588 how can i do it,check_invoice,get_invoice
how can I get the invoices from {{Person Name}}?,get_invoice,check_invoice
I need assistance enteirng another delivery address,set_up_shipping_address,change_shipping_address
I want assistance to see my invoice from {{Person Name}},check_invoice,get_invoice
i need assistance to get the invoice #85632,get_invoice,check_invoice
I don't know what to do ti see my invoice from {{Person Name}},check_invoice,get_invoice
where is order {{Order Number}},track_order,change_order
how do I get bill #85632?,get_invoice,check_invoice
see the bill from {{Person Name}},check_invoice,get_invoice
get invoice #85632,get_invoice,check_invoice
help me to get my invoices from {{Person Name}},get_invoice,check_invoice
issues creating account,registration_problems,create_account
another pro account,create_account,delete_account
would you give me information about cancelling orders?,cancel_order,delete_account
I don't know what I have to do to wsitch to the {{Account Type}} account,switch_account,delete_account
i try to get the inovice #00108,get_invoice,check_invoice
can I get my bill #12588?,get_invoice,check_invoice
i have got to locte order {{Order Number}},track_order,change_order
find my bill from {{Person Name}},check_invoice,get_invoice
need help with cancelliing order {{Order Number}},cancel_order,change_order
see invoicefrom {{Person Name}},check_invoice,get_invoice
i needhelp to get my invoices from {{Person Name}},get_invoice,check_invoice
want assistance to get my invoices from {{Person Name}},get_invoice,check_invoice
lcate order {{Order Number}},track_order,change_order
what do i need to do to see the invoice #37777,check_invoice,get_invoice
need assistance to get my invoice #85632,get_invoice,check_invoice
I need help to find my invoice #12588,check_invoice,get_invoice
I am trying to find my invoices from {{Person Name}},check_invoice,get_invoice
I call to get my bills from {{Person Name}},get_invoice,check_invoice
see invoicefrom {{Person Name}},check_invoice,get_invoice
need assistance withcanceling purchase {{Order Number}},cancel_order,change_order
need help lpocating the bloody invoice from {{Person Name}},check_invoice,get_invoice
can uhelp me cancelliung order {{Order Number}},cancel_order,change_order
I need help contacting customerservice,contact_customer_service,contact_human_agent
order anitem,place_order,change_order
help to get bill #85632,get_invoice,check_invoice
i want help to track purchase00123842,track_order,track_refund
can uhelp me cancelliung order {{Order Number}},cancel_order,change_order
need to submut a delivery address,set_up_shipping_address,change_shipping_address
"I do not use the damn {{Account Category}} account, help canceling it",delete_account,switch_account
see the bill from {{Person Name}},check_invoice,get_invoice
i do not know how i could casncel order {{Order Number}},cancel_order,change_order
i dont know how i can see my bill from {{Person Name}},check_invoice,get_invoice
I have to change the delivery adfress,change_shipping_address,switch_account
